image,PO Number,Order Number,styles,Name,requested,Confirmed,Rejected
https://artifact.prod.dpc.nike.io/v1/dpc/artifacts/2482106c-e7b8-4d32-a297-0cc51ddc918f?format=png&height=100&width=100&Expires=1674582420&Key-Pair-Id=APKAIY5MFB6ZHRUC3VEA&Signature=Y~JwFip7tVZ3-kJesqWolObFnUIuX0qjpVITdGTtWK~vWUFer5pLEfu4c-bhrgeYi~Jo-X1lHnXGXQaedFLTrPUfXHlRn90ysrTdRoVTGwkzS0V6dlOcEgvGIxRTDgcc4XN6r1SElqkGiRgfDyiPuSLDRHPOsA9TkM6poMake0k~iOoj3rGgTU1VEIC6rTho4PTK8u0Aucld-g0VpjbxADTkaxgCCNjN5AZdc8WPq5nS9Ao3uGh-vug3KEYE4fyJw4reex3ko6vqS0j6-z4yVMvI8YKYcMb1K-Tfh4MYMgF0WubKfyqiNTRDqQLYwuVXkphvxbH6qghQvUFEkVv31A__,FU-BELNKEMA010123 ,7355758298,BV2645-725,"NIKE SPORTSWEAR CLUB FLEECE
WHEAT GOLD/WHEAT GOLD/WHITE
Apparel
BV2645-725",19,CONFIRMED 0,19
https://artifact.prod.dpc.nike.io/v1/dpc/artifacts/3dee2056-376a-4424-a56c-3cf0747a77df?format=png&height=100&width=100&Expires=1674582420&Key-Pair-Id=APKAIY5MFB6ZHRUC3VEA&Signature=e-vV9L~WLrNJzL~gLaAQkgXB9ZoS~xvlZAzID88PqYWi9hXYBW7a2HYpG3-vfgJYdN8z4xMKDFWrvjMwDLGg1M3D7nGE9ED5cDr7zef17ZRE9LodOXw23q8qEyYzWKpDbtiPJsM~Bl8Tk1lPX9hZtgKipTq0BDf3EtB0K-ottDhrefMGRyIeCBK6yuzxewIXQwsYuVe1Ip3zXOKf4XWa0yHEXETAj8RELEMkIqi4m98FKguKapGp-~ydPSOc-A0Ke8VE6YSXMEjZk78g74ovE5rJ~bF9L30hogzSKOMD0asdRR9feSEZQGjFRJe0XqXF4QzMuJbblwU3fMhNKHo~hg__,FU-BELNKEMA010123 ,7355758298,BV2654-493,"NIKE SPORTSWEAR CLUB FLEECE
ASHEN SLATE/ASHEN SLATE/WHITE
Apparel
BV2654-493",19,CONFIRMED 19,0
https://artifact.prod.dpc.nike.io/v1/dpc/artifacts/1558cc0f-9731-4f20-ab17-5534e17ed3a5?format=png&height=100&width=100&Expires=1674582421&Key-Pair-Id=APKAIY5MFB6ZHRUC3VEA&Signature=EyVTQUC4D8TNXGnK67CNkmOORRmaebGC9d8zgui57mBnCAIaPicHlphQWB9FX3tGxdWpryW8NFpZNnAVDn~jQ9T7KyTJ5AxC6~dK08qi8u~4xib1bMIGEbyW-YbAFpY2n8nDbemFR-tpwOzDHTTrj1UjlKt70r3ZugrjKdi1z47GOQTReBungHjuw5bZN6ApqB8IUh6LOQAsGZ0mdrw4zpmZMLkehr-rdfzMnoI~yf-iLa7YXFpsO6NA6TOSzobGc3WjD~D3N~8OAXk71ya52eTRHECK2kIa2M396OYkhRysYJLjbvAGFm4OQOKRi28mOjwb~xyu2QkBnT-Wzy9vYA__,FU-BELNKEMA010123 ,7355758298,BV2671-386,"NIKE SPORTSWEAR CLUB FLEECE
OIL GREEN/OIL GREEN/WHITE
Apparel
BV2671-386",22,CONFIRMED 22,0
https://artifact.prod.dpc.nike.io/v1/dpc/artifacts/2acb84f5-42b8-4e55-8e3a-cd715fa1d615?format=png&height=100&width=100&Expires=1674582420&Key-Pair-Id=APKAIY5MFB6ZHRUC3VEA&Signature=EAAuD3IcatRaw5QwvGx5IKUvu5WdL5mWaMJPStOd6o~HKAQ2iysBPCTdCMDKJZtOpE9H2HCSLY-sbcn57BjoDEF9XbrXv97Q84UhvLSAtxzKfAdyIaIeIFWozru6ibbl2oQ8lBN6gCrzoUSS~IdozWyZNrpBQPzdUtDjOm3vDb3VDpqijlTher-jdhXYfM~6I3~EeOn1rgkscOZxyuWFh6qy9uc~SFmD6f3HpJpetGW6Y~yLddfJSsrURYwreQZAPMWXSoq6z2D-Pb5rSihGTPo3jKwf2KXoFm2e0BSlajtWnocIY-TQg92hZyUE5WnwR2vP-OHHjLLrhYvoJxBGGQ__,FU-BELNKEMA010123 ,7355758298,BV2671-493,"NIKE SPORTSWEAR CLUB FLEECE
ASHEN SLATE/ASHEN SLATE/WHITE
Apparel
BV2671-493",19,CONFIRMED 19,0
https://artifact.prod.dpc.nike.io/v1/dpc/artifacts/a73ae032-64c3-4400-9646-81737467abc1?format=png&height=100&width=100&Expires=1674582420&Key-Pair-Id=APKAIY5MFB6ZHRUC3VEA&Signature=sNcXxLhPIPyCn4WWoSXRwiSq1Gbs7lPqVTeAkKLXwNdyXNeJQuLUWAmlazhiD2ue8HWB72gbEk-sOEi~uyvW1p8dVeHqLMfCmqNCHPUO7fXRX~~sRF9bl4JAOKnV6PoPDIW3OElZ1kKS6ifhAjlsJvjMVbxu6UX895heOlXz-FaPgqUNT0NeewkDszUFDLY7zW4twsV7l4eEhPMIIGpDj4-n3RC43-32iea3Ksqu9sbthpgwiBsII0GO6skIk1U-KnCg0KStqFiCNDvesQlJ6wIaisB8ZMCC-22wpCoF~20B8pDlncSzQTHnH9WZ~4E7CDNQaPS3FMYIR1p7GEtWUQ__,FU-BELNKEMA010123 ,7355758298,BV2671-725,"NIKE SPORTSWEAR CLUB FLEECE
WHEAT GOLD/WHEAT GOLD/WHITE
Apparel
BV2671-725",19,CONFIRMED 19,0
https://artifact.prod.dpc.nike.io/v1/dpc/artifacts/55113803-e90d-4668-8583-8863426c1b87?format=png&height=100&width=100&Expires=1674582421&Key-Pair-Id=APKAIY5MFB6ZHRUC3VEA&Signature=U4BYUpvQS6EJbxffp~Dx~vf9jQ8pqBeJGgDv8dJCJ12VTGh9CGOyIr8oR5cYPh6rYFEWl9-6qXO1glBJw99D61c~COer7SJtcNpsSIKI0UahR1bPB9HpdjS7tNXdqRTiNeFyQI2n~gT36v5oSxfVc73cahq0TxnwR3wR~pU-MaS63072iKPbkzzQPpgSJABf6RdMtRkhJtk1DYxuq58mQjSWwXULplxghM30v8Xa7x01QP94viJNC8ABqZwmCDmCchoAJeSja72-EhqTsosqZWPQJi8e1YhVI~beyaurLVvKr1EeXWIvDTPgghWNqtJeVwPD2NpztcIeYVln2V4KLA__,FU-BELNKEMA010123 ,7355758298,BV2645-386,"NIKE SPORTSWEAR CLUB FLEECE
OIL GREEN/OIL GREEN/WHITE
Apparel
BV2645-386",22,22,0
https://artifact.prod.dpc.nike.io/v1/dpc/artifacts/2482106c-e7b8-4d32-a297-0cc51ddc918f?format=png&height=100&width=100&Expires=1674582420&Key-Pair-Id=APKAIY5MFB6ZHRUC3VEA&Signature=Y~JwFip7tVZ3-kJesqWolObFnUIuX0qjpVITdGTtWK~vWUFer5pLEfu4c-bhrgeYi~Jo-X1lHnXGXQaedFLTrPUfXHlRn90ysrTdRoVTGwkzS0V6dlOcEgvGIxRTDgcc4XN6r1SElqkGiRgfDyiPuSLDRHPOsA9TkM6poMake0k~iOoj3rGgTU1VEIC6rTho4PTK8u0Aucld-g0VpjbxADTkaxgCCNjN5AZdc8WPq5nS9Ao3uGh-vug3KEYE4fyJw4reex3ko6vqS0j6-z4yVMvI8YKYcMb1K-Tfh4MYMgF0WubKfyqiNTRDqQLYwuVXkphvxbH6qghQvUFEkVv31A__,FU-LANNKEMA010123 ,7355751247,BV2645-725,"NIKE SPORTSWEAR CLUB FLEECE
WHEAT GOLD/WHEAT GOLD/WHITE
Apparel
BV2645-725",22,CONFIRMED 0,22
https://artifact.prod.dpc.nike.io/v1/dpc/artifacts/3dee2056-376a-4424-a56c-3cf0747a77df?format=png&height=100&width=100&Expires=1674582420&Key-Pair-Id=APKAIY5MFB6ZHRUC3VEA&Signature=e-vV9L~WLrNJzL~gLaAQkgXB9ZoS~xvlZAzID88PqYWi9hXYBW7a2HYpG3-vfgJYdN8z4xMKDFWrvjMwDLGg1M3D7nGE9ED5cDr7zef17ZRE9LodOXw23q8qEyYzWKpDbtiPJsM~Bl8Tk1lPX9hZtgKipTq0BDf3EtB0K-ottDhrefMGRyIeCBK6yuzxewIXQwsYuVe1Ip3zXOKf4XWa0yHEXETAj8RELEMkIqi4m98FKguKapGp-~ydPSOc-A0Ke8VE6YSXMEjZk78g74ovE5rJ~bF9L30hogzSKOMD0asdRR9feSEZQGjFRJe0XqXF4QzMuJbblwU3fMhNKHo~hg__,FU-LANNKEMA010123 ,7355751247,BV2654-493,"NIKE SPORTSWEAR CLUB FLEECE
ASHEN SLATE/ASHEN SLATE/WHITE
Apparel
BV2654-493",22,CONFIRMED 22,0
https://artifact.prod.dpc.nike.io/v1/dpc/artifacts/1558cc0f-9731-4f20-ab17-5534e17ed3a5?format=png&height=100&width=100&Expires=1674582421&Key-Pair-Id=APKAIY5MFB6ZHRUC3VEA&Signature=EyVTQUC4D8TNXGnK67CNkmOORRmaebGC9d8zgui57mBnCAIaPicHlphQWB9FX3tGxdWpryW8NFpZNnAVDn~jQ9T7KyTJ5AxC6~dK08qi8u~4xib1bMIGEbyW-YbAFpY2n8nDbemFR-tpwOzDHTTrj1UjlKt70r3ZugrjKdi1z47GOQTReBungHjuw5bZN6ApqB8IUh6LOQAsGZ0mdrw4zpmZMLkehr-rdfzMnoI~yf-iLa7YXFpsO6NA6TOSzobGc3WjD~D3N~8OAXk71ya52eTRHECK2kIa2M396OYkhRysYJLjbvAGFm4OQOKRi28mOjwb~xyu2QkBnT-Wzy9vYA__,FU-LANNKEMA010123 ,7355751247,BV2671-386,"NIKE SPORTSWEAR CLUB FLEECE
OIL GREEN/OIL GREEN/WHITE
Apparel
BV2671-386",22,CONFIRMED 22,0
https://artifact.prod.dpc.nike.io/v1/dpc/artifacts/2acb84f5-42b8-4e55-8e3a-cd715fa1d615?format=png&height=100&width=100&Expires=1674582420&Key-Pair-Id=APKAIY5MFB6ZHRUC3VEA&Signature=EAAuD3IcatRaw5QwvGx5IKUvu5WdL5mWaMJPStOd6o~HKAQ2iysBPCTdCMDKJZtOpE9H2HCSLY-sbcn57BjoDEF9XbrXv97Q84UhvLSAtxzKfAdyIaIeIFWozru6ibbl2oQ8lBN6gCrzoUSS~IdozWyZNrpBQPzdUtDjOm3vDb3VDpqijlTher-jdhXYfM~6I3~EeOn1rgkscOZxyuWFh6qy9uc~SFmD6f3HpJpetGW6Y~yLddfJSsrURYwreQZAPMWXSoq6z2D-Pb5rSihGTPo3jKwf2KXoFm2e0BSlajtWnocIY-TQg92hZyUE5WnwR2vP-OHHjLLrhYvoJxBGGQ__,FU-LANNKEMA010123 ,7355751247,BV2671-493,"NIKE SPORTSWEAR CLUB FLEECE
ASHEN SLATE/ASHEN SLATE/WHITE
Apparel
BV2671-493",22,CONFIRMED 22,0
